update,agent,pre_tanh_mean,pre_tanh_std,pre_tanh_max,weight_g,weight_v_norm
30,jammer_beamformer,0.8096069688932039,1.0189949881802622,3.600262403488159,0.01504532527178526,0.40004777908325195
31,jammer_beamformer,0.8178685585176573,1.0220289708193477,3.5458431243896484,0.015139797702431679,0.4062465727329254
32,jammer_beamformer,0.7985004879562184,0.9922526084265143,3.718843460083008,0.015142369084060192,0.41087937355041504
33,jammer_beamformer,0.8025956379203126,1.0040685714992537,3.435145139694214,0.015277241356670856,0.4142770767211914
34,jammer_beamformer,0.8087967636832036,1.004441928701194,3.588559865951538,0.015549279749393463,0.4208493232727051
35,jammer_beamformer,0.8416261104727164,1.0386680958563081,3.6193583011627197,0.015607321634888649,0.4301808774471283
36,jammer_beamformer,0.8419080642194021,1.0692428946692865,4.595644474029541,0.01566954143345356,0.43921807408332825
37,jammer_beamformer,0.8139065528819337,1.0165273052771249,3.494744300842285,0.015934620052576065,0.44627895951271057
38,jammer_beamformer,0.8292837455291301,1.0357312871640667,4.149875640869141,0.016175325959920883,0.45148855447769165
39,jammer_beamformer,0.7989573098593391,1.0050042570398747,3.4418160915374756,0.016366800293326378,0.4559919536113739
40,jammer_beamformer,0.8172565638523083,1.020721969158135,3.473966121673584,0.016546690836548805,0.45910945534706116
41,jammer_beamformer,0.8199960512269754,1.0191062276648832,3.527052164077759,0.016818687319755554,0.46157106757164
42,jammer_beamformer,0.8058632152215578,1.0209684211026104,4.556972026824951,0.017031116411089897,0.4679517447948456
43,jammer_beamformer,0.8419359958278947,1.0641588494433842,3.7831482887268066,0.01715783402323723,0.47472164034843445
44,jammer_beamformer,0.7991748013873584,0.9960639560888157,3.296729564666748,0.01732048951089382,0.4796793758869171
